X,Y,LT,LD,SL,DD,RF,LULC,SO,AL,TWI,PC,Yields,Class
804830.0,9234818.0,17.0,0.637,26.194,1.781,4881.896,4.0,3.0,827.0,3.169,4.0,1.0,2.0
803831.0,9232138.0,17.0,0.0,6.303,2.339,4728.467,4.0,3.0,722.0,10.143,3.0,1.0,2.0
780148.0,9213534.0,6.0,0.895,18.988,2.861,3676.395,1.0,2.0,1028.0,8.317,7.0,1.04,2.0
795940.0,9215679.0,6.0,0.0,9.365,3.474,3818.449,4.0,2.0,932.0,4.593,6.0,1.08,2.0
819780.0,9229356.0,11.0,0.608,8.697,4.281,4769.45,1.0,2.0,1145.0,7.095,1.0,1.1,2.0
812942.0,9222559.0,5.0,0.559,5.111,2.446,4175.869,1.0,2.0,813.0,13.908,6.0,1.1,2.0
810963.0,9221091.0,5.0,0.582,6.455,2.157,4125.388,1.0,2.0,819.0,6.314,3.0,1.1,2.0
785587.0,9217070.0,6.0,0.0,5.419,2.232,3871.806,1.0,2.0,839.0,7.131,1.0,1.2,2.0
803831.0,9232138.0,17.0,0.0,6.303,2.339,4728.467,4.0,3.0,722.0,10.143,3.0,1.2,2.0
776152.0,9221713.0,18.0,0.228,2.919,2.583,3889.524,1.0,3.0,811.0,5.368,3.0,1.2,2.0
776573.0,9221856.0,18.0,0.056,12.08,2.571,3905.392,4.0,3.0,805.0,5.633,0.0,1.28,2.0
801708.0,9232717.0,17.0,0.232,4.045,2.773,4744.056,4.0,4.0,718.0,8.066,0.0,1.32,2.0
813197.0,9225595.0,4.0,0.09,4.355,1.977,4392.598,1.0,2.0,716.0,7.204,0.0,1.34,2.0
785563.0,9217030.0,6.0,0.0,5.111,2.135,3869.66,1.0,2.0,841.0,7.492,-1.0,1.44,2.0
781400.0,9205721.0,7.0,0.642,3.238,4.013,3351.982,1.0,2.0,1369.0,12.142,5.0,1.44,2.0
812592.0,9223235.0,5.0,0.126,8.399,2.192,4205.36,1.0,2.0,774.0,4.94,-3.0,1.5,2.0
767165.0,9215809.0,12.0,1.095,10.049,2.985,3465.649,1.0,2.0,1357.0,6.645,-1.0,1.5,2.0
803088.0,9233676.0,17.0,0.605,12.482,2.447,4797.046,4.0,3.0,788.0,6.195,3.0,1.55,2.0
811478.0,9222229.0,5.0,0.088,10.888,2.111,4182.341,1.0,2.0,731.0,5.054,1.0,1.57,2.0
802267.0,9233327.0,17.0,0.555,0.81,2.335,4766.242,4.0,3.0,754.0,13.723,0.0,1.57,2.0
787820.0,9214541.0,6.0,0.626,10.773,3.214,3738.687,5.0,2.0,1199.0,6.172,3.0,1.6,2.0
813645.0,9222703.0,5.0,1.139,21.9,2.319,4171.506,1.0,2.0,839.0,4.764,-6.0,1.7,2.0
786711.0,9213594.0,6.0,1.192,5.111,2.151,3713.281,1.0,2.0,1181.0,6.438,-2.0,1.72,2.0
778815.0,9217217.0,6.0,2.014,14.197,1.572,3772.216,1.0,2.0,1001.0,5.42,0.0,1.76,2.0
820018.0,9223939.0,11.0,0.798,9.09,3.366,4221.838,1.0,2.0,898.0,6.65,0.0,1.8,2.0
778058.0,9202212.0,7.0,1.187,5.419,2.651,3173.409,5.0,5.0,1678.0,13.406,-1.0,1.84,2.0
813926.0,9225133.0,5.0,0.211,7.929,2.208,4340.345,1.0,2.0,725.0,12.729,0.0,1.9,2.0
811670.0,9222416.0,5.0,0.015,5.111,2.392,4186.904,1.0,2.0,739.0,10.951,1.0,1.94,2.0
815351.0,9222459.0,5.0,0.008,7.929,2.779,4089.11,1.0,2.0,922.0,4.913,-4.0,2.0,2.0
815887.0,9222125.0,5.0,0.0,5.111,3.192,4083.197,1.0,2.0,934.0,6.843,-6.0,2.0,2.0
768808.0,9211478.0,12.0,0.584,7.641,1.506,3340.368,4.0,2.0,1385.0,6.212,3.0,2.0,2.0
767362.0,9215726.0,12.0,1.14,11.635,2.728,3459.667,1.0,2.0,1331.0,7.589,4.0,2.0,2.0
795628.0,9239112.0,11.0,0.52,17.249,2.893,5058.634,1.0,3.0,987.0,5.457,0.0,2.0,2.0
797723.0,9237279.0,11.0,0.0,12.207,2.34,4923.768,1.0,3.0,834.0,4.563,2.0,2.0,2.0
801347.0,9239269.0,17.0,0.47,9.697,3.115,5120.98,1.0,3.0,1233.0,6.061,-1.0,2.0,2.0
781140.0,9214494.0,6.0,0.271,13.496,2.967,3705.886,1.0,2.0,857.0,4.64,0.0,2.03,2.0
784012.0,9203441.0,7.0,0.263,8.985,2.197,3286.229,1.0,2.0,1444.0,11.736,9.0,2.08,2.0
804917.0,9235027.0,17.0,0.634,4.574,2.036,4891.702,1.0,3.0,823.0,14.881,0.0,2.1,2.0
770000.0,9217372.0,12.0,0.566,16.09,2.052,3569.029,1.0,2.0,1193.0,3.687,-1.0,2.16,2.0
815264.0,9228148.0,10.0,0.571,4.574,2.812,4546.603,4.0,2.0,824.0,11.307,0.0,2.2,2.0
813539.0,9218033.0,5.0,0.063,6.505,1.582,3972.763,1.0,2.0,1115.0,13.78,4.0,2.2,2.0
812950.0,9218566.0,5.0,0.369,2.919,2.411,4016.769,1.0,2.0,1125.0,4.497,3.0,2.2,2.0
802435.0,9234037.0,17.0,0.617,7.298,2.349,4825.258,4.0,3.0,807.0,6.116,-1.0,2.2,2.0
780886.0,9214730.0,6.0,0.461,16.09,3.04,3706.91,1.0,2.0,899.0,4.204,-1.0,2.24,2.0
